Custom map for Tim Stutzle
Custom map for Alex lafallo
Group 1
Leon Draisaitl        EDM 31
Mark Scheifele        WPG 24
William Nylander      TOR 24
John Tavares          TOR 20
Jonathan Huberdeau    CGY 17
Connor McDavid        EDM 16
Matthew Knies         TOR 16
Josh Norris           OTT 14
Tim Stützle           OTT 12
Nino Niederreiter     WPG 11
Brendan Gallagher     MTL 10
Blake Coleman         CGY 09
J.T. Miller           VAN 08
Juraj Slafkovsky      MTL 04
Nils Hoglander        VAN 02


Group 2
Brock Boeser          VAN 14
Bobby McMann          TOR 12
Jake Evans            MTL 10
Alex Newhook          MTL 07
Alex Iafallo          WPG 06
Connor Brown          EDM 06
Rasmus Andersson      CGY 06
Danton Heinen         VAN 05
Kasperi Kapanen       STL,EDM 05
Morgan Rielly         TOR 05
Morgan Barron         WPG 04
Jake Sanderson        OTT 02
Pontus Holmberg       TOR 02
Zack MacEwen          OTT 02
Andrei Kuzmenko       CGY 01


Group 3
Nikolaj Ehlers        WPG 12
Corey Perry           EDM 06
Nick Cousins          OTT 05
Teddy Blueger         VAN 05
Noah Gregor           OTT 04
Vasily Podkolzin      EDM 04
Kevin Rooney          CGY 03
Lane Hutson           MTL 03
Colin Miller          WPG 02
Arber Xhekaj          MTL 01
Conor Timmins         TOR 01
Daniil Miromanov      CGY 01
Ryan Reaves           TOR 00
Simon Benoit          TOR 00
Vincent Desharnais    VAN 00


